"id","nom","session"
"1","Introduction à la programmation","1"
"2","Design d'interface I","1"
"3","Culture numérique et communication","1"
"4","Intégration I","1"
"5","Profession intégrateur","1"
"6","Programmation Web et multimédia I","2"
"7","Design d'interface II","2"
"8","Montage médiatique : animation","2"
"9","Intégration II","2"
"10","Programmation web et multimédia II","3"
"11","Conception interactive I","3"
"12","Montage médiatique : vidéo","3"
"13","Réalisation de produits numériques interactifs I","3"
"14","Programmation web et multimédia III","4"
"15","Conception interactive II","4"
"16","Montage médiatique : plurimédia","4"
"17","Réalisation de produits numériques interactifs II","4"
"18","Programmation web et multimédia IV","5"
"19","Réalisation de produits numériques interactifs III","5"
"20","Analyse et conception de projets","5"
"21","Programmation spécialisée","5"
"22","Projet de recherche","6"
"23","Réalisation de produits numériques interactifs IV","6"
"24","Stage et activités professionnelles","6"
